Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,0.2848,0.011,0.4017,0.013,0.368,0.012,,,,,,
48,4410,0.4907,0.014,0.4491,0.013,0.4506,0.013,,,,,,
114,4410,1.1073,0.021,1.7847,0.0268,1.4605,0.0242,,,,,,
13,4410,0.1246,0.007,0.1575,0.0079,0.111,0.0067,,,,,,
25,4410,0.3064,0.011,0.2439,0.0098,0.2414,0.0097,,,,,,
49,4410,0.7553,0.017,0.8813,0.019,0.7768,0.019,,,,,,
39,4410,0.6477,0.016,0.3851,0.012,0.5782,0.015,,,,,,
18,1470,0.4525,0.013,,,,,,,,,,
26,2940,0.6265,0.016,0.3733,0.012,,,,,,,,
24,1470,0.6665,0.016,,,,,,,,,,
55,4410,0.565,0.015,0.3496,0.012,0.661,0.016,,,,,,
38,2940,0.5624,0.015,0.6332,0.016,,,,,,,,
61,4410,0.5469,0.015,0.562,0.015,0.6882,0.017,,,,,,
82,4410,1.1055,0.021,0.6209,0.016,0.9559,0.019,,,,,,
16,1470,0.3365,0.012,,,,,,,,,,
38,2940,0.826,0.018,0.5669,0.015,,,,,,,,
42,2940,0.749,0.016,0.7883,0.017,,,,,,,,
31,4410,0.2188,0.0092,0.2904,0.011,0.2018,0.0089,,,,,,
15,1470,0.563,0.015,,,,,,,,,,
27,1470,0.6939,0.017,,,,,,,,,,
34,2940,0.5107,0.014,0.4176,0.013,,,,,,,,
6,1470,0.3732,0.012,,,,,,,,,,
48,1470,1.5108,0.0246,,,,,,,,,,
16,1470,0.4085,0.013,,,,,,,,,,
31,4410,0.4958,0.014,0.3928,0.013,0.3323,0.012,,,,,,
